Number of Drones,Attraction Constant,Repulsion Constant,Mean Final Percentage,Std Final Percentage,Mean Data Length,Std Data Length
5,320,180,31.17,19.41,860.8,107.16
5,320,200,34.97,15.34,947.93,202.39
5,320,220,31.1,13.61,953.07,126.65
5,320,240,34.97,15.99,902.6,162.8
5,320,260,31.7,18.12,941.53,158.65
5,320,280,29.97,13.38,933.53,126.07
5,320,300,42.03,15.29,928.73,152.27
5,320,320,33.4,16.44,883.27,104.23
5,320,340,40.8,20.29,910.4,152.09
5,320,360,38.83,12.46,983.2,175.01
5,320,380,28.07,17.53,908.07,90.93
5,320,400,29.9,16.42,961.67,153.58
5,340,0,17.17,13.6,895.93,114.91
5,340,20,16.7,10.26,917.33,178.28
5,340,40,18.63,14.33,869.53,112.05
5,340,60,26.63,13.72,890.0,105.0
5,340,80,25.27,12.83,920.4,129.8
5,340,100,33.63,16.09,935.0,155.97
5,340,120,29.2,14.23,911.53,182.45
5,340,140,30.33,17.37,878.2,125.37
5,340,160,27.1,15.3,949.67,161.46
5,340,180,27.8,13.8,846.13,98.43
5,340,200,28.67,13.9,919.73,158.69
5,340,220,29.7,15.16,905.0,127.93
5,340,240,25.93,11.73,937.6,152.59
5,340,260,19.37,11.23,937.67,117.27
5,340,280,33.9,16.08,931.33,161.56
5,340,300,36.37,16.28,920.0,125.66
5,340,320,30.4,11.41,932.73,170.09
5,340,340,30.5,16.89,951.33,144.16
5,340,360,36.27,15.49,1002.93,124.63
5,340,380,37.4,16.6,987.67,169.46
5,340,400,36.67,12.54,970.33,143.92
5,360,0,15.87,14.66,884.6,90.93
5,360,20,20.27,16.47,899.6,80.83
5,360,40,18.87,12.82,914.13,106.75
5,360,60,27.53,14.15,839.27,120.88
5,360,80,28.03,13.72,889.53,107.47
5,360,100,20.2,17.06,889.07,105.7
5,360,120,22.53,8.32,917.67,125.14
5,360,140,27.17,13.39,948.13,129.41
5,360,160,26.13,17.2,982.53,168.66
5,360,180,33.67,16.14,981.07,145.7
5,360,200,33.4,10.22,912.07,175.02
5,360,220,21.5,17.48,935.6,140.94
5,360,240,35.1,13.39,971.4,139.1
5,360,260,33.6,21.25,961.33,170.25
5,360,280,34.03,16.7,945.8,81.16
5,360,300,29.0,16.43,946.67,100.33
5,360,320,31.5,17.76,922.73,109.32
5,360,340,32.67,14.9,954.8,146.57
5,360,360,29.23,19.91,960.93,92.5
5,360,380,33.6,17.22,955.33,137.35
5,360,400,32.43,12.98,955.8,116.54
5,380,0,12.33,10.87,899.2,109.91
5,380,20,17.43,14.64,903.0,144.93
5,380,40,22.77,14.1,900.87,101.7
5,380,60,31.5,18.41,962.33,122.5
5,380,80,21.67,15.48,919.53,177.49
5,380,100,18.87,12.61,905.8,77.4
5,380,120,30.37,18.65,930.93,142.63
5,380,140,27.9,18.1,970.47,106.96
5,380,160,32.47,20.06,926.6,189.23
5,380,180,34.7,16.98,944.0,149.31
5,380,200,25.0,12.0,1054.0,225.61
5,380,220,30.73,14.82,949.67,152.07
5,380,240,30.8,20.03,985.73,205.01
